년도,월,일,사용분야,수입지출여부,금액,총금액
2020,9,10,식사,지출,7350,54947
2021,5,2,체육대회,수입,4526,59473
2023,12,23,여행,지출,1890,57583
2022,12,2,MT,지출,9451,48132
2023,6,29,쇼핑,수입,7115,55247
2023,5,18,여행,지출,1258,53989
2022,1,25,식사,수입,7005,60994
2021,8,26,여행,지출,5584,55410
2021,5,9,여행,지출,2450,52960
2023,2,2,쇼핑,지출,1637,51323
2021,3,27,식사,지출,8262,43061
2023,9,16,식사,수입,8614,51675
2020,11,27,쇼핑,수입,2650,54325
2021,5,2,식사,지출,9577,44748
2022,5,25,체육대회,지출,6672,38076
2021,6,9,쇼핑,지출,9558,28518
2021,7,5,여행,지출,6528,21990
2021,10,3,체육대회,수입,2017,24007
2021,3,29,MT,수입,5054,29061
2020,5,2,쇼핑,수입,6301,35362
2023,9,11,식사,지출,9957,25405
2020,5,23,식사,지출,8140,17265
2022,2,7,체육대회,지출,7237,10028
2022,3,15,쇼핑,수입,1391,11419
2022,12,19,체육대회,지출,4298,7121
2021,12,27,체육대회,수입,4925,12046
2023,12,7,MT,수입,3053,15099
2020,4,26,MT,지출,8389,6710
2020,5,10,체육대회,수입,8439,15149
2021,3,18,MT,수입,7714,22863
2023,6,3,쇼핑,지출,2150,20713
2021,11,19,체육대회,수입,5044,25757
2020,6,5,체육대회,지출,4022,21735
2021,3,6,식사,수입,9906,31641
2022,10,28,체육대회,지출,6409,25232
2021,9,19,여행,수입,5687,30919
2021,6,20,여행,수입,5154,36073
2023,5,15,여행,지출,5040,31033
2021,12,8,MT,수입,6194,37227
2020,10,20,여행,수입,1764,38991
2021,1,18,식사,수입,1348,40339
2021,2,4,여행,수입,5089,45428
2022,1,30,여행,수입,9239,54667
2023,7,6,MT,지출,8575,46092
2022,6,6,MT,지출,8390,37702
2023,11,23,여행,수입,2835,40537
2022,5,18,식사,수입,3295,43832
2020,12,25,식사,지출,9973,33859
2022,11,4,식사,지출,6653,27206
2021,2,16,식사,지출,1570,25636
2020,4,3,체육대회,지출,7352,18284
2021,7,29,체육대회,수입,7055,25339
2023,10,21,식사,수입,4120,29459
2022,4,21,식사,수입,7586,37045
2021,10,16,체육대회,지출,2601,34444
2020,9,20,식사,수입,5627,40071
2023,10,28,MT,지출,4707,35364
2022,3,22,쇼핑,수입,8308,43672
2023,11,30,MT,지출,8069,35603
2020,6,20,쇼핑,수입,5312,40915
2023,10,20,쇼핑,수입,2931,43846
2023,1,13,MT,수입,7219,51065
2023,5,10,체육대회,수입,2262,53327
2023,1,10,쇼핑,수입,6208,59535
2022,4,10,쇼핑,수입,3737,63272
2023,2,20,식사,수입,3803,67075
2023,12,13,식사,수입,3831,70906
2020,2,14,여행,지출,3061,67845
2021,9,14,여행,수입,6132,73977
2023,2,19,체육대회,수입,6949,80926
2022,11,24,식사,수입,8862,89788
2023,3,7,쇼핑,수입,6518,96306
2021,11,10,식사,수입,7196,103502
2022,10,21,MT,지출,8777,94725
2021,3,12,여행,지출,4380,90345
2022,1,12,여행,수입,6464,96809
2021,9,19,체육대회,수입,6145,102954
2020,8,27,쇼핑,지출,6709,96245
2023,12,24,쇼핑,지출,2798,93447
2023,12,12,여행,지출,4122,89325
2022,12,26,식사,지출,7351,81974
2023,4,23,체육대회,지출,2580,79394
2023,4,30,체육대회,지출,5713,73681
2023,2,1,여행,지출,5011,68670
2023,8,15,식사,지출,3479,65191
2023,5,1,체육대회,수입,2616,67807
2021,5,24,식사,수입,6614,74421
2022,10,7,MT,지출,6016,68405
2022,6,6,체육대회,수입,6519,74924
2022,3,7,여행,지출,6536,68388
2021,1,7,쇼핑,수입,4983,73371
2023,1,28,쇼핑,지출,6356,67015
2020,6,16,MT,지출,5730,61285
2020,11,9,식사,지출,9483,51802
2022,10,16,쇼핑,지출,4130,47672
2022,2,13,MT,수입,9902,57574
2021,2,17,여행,수입,4344,61918
2021,8,1,여행,수입,1390,63308
2023,2,21,여행,수입,7093,70401
2021,8,18,MT,지출,9011,61390
2023,1,1,여행,지출,6234,55156
2022,5,18,여행,수입,5001,60157
2022,4,30,MT,수입,5013,65170
2022,12,18,쇼핑,지출,2971,62199
2021,11,11,MT,수입,7624,69823
2020,4,25,체육대회,지출,9411,60412
2022,7,27,여행,수입,8378,68790
2020,1,1,체육대회,수입,8041,76831
2021,3,13,체육대회,지출,4724,72107
2023,8,7,쇼핑,지출,5787,66320
2023,10,7,체육대회,지출,9398,56922
2021,3,10,체육대회,수입,4681,61603
2023,8,14,식사,수입,9982,71585
2020,1,16,식사,지출,6809,64776
2020,6,13,여행,지출,5621,59155
2023,1,16,MT,수입,4280,63435
2023,1,19,MT,지출,7916,55519
2020,9,25,식사,수입,3866,59385
2021,6,26,체육대회,수입,7664,67049
2022,8,31,MT,지출,5268,61781
2023,5,13,쇼핑,수입,6283,68064
2023,7,2,식사,수입,5917,73981
2022,11,29,체육대회,수입,2999,76980
2023,10,11,쇼핑,수입,3101,80081
2022,4,16,쇼핑,지출,5484,74597
2021,5,17,식사,지출,9076,65521
2021,2,11,MT,수입,6519,72040
2021,9,12,식사,지출,4424,67616
2023,4,28,식사,지출,3987,63629
2021,11,5,MT,수입,3860,67489
2023,10,7,여행,지출,9264,58225
2021,3,23,식사,지출,7666,50559
2021,6,16,식사,지출,6756,43803
2021,9,4,MT,지출,6926,36877
2023,7,18,체육대회,수입,5807,42684
2023,3,10,여행,지출,5041,37643
2020,5,13,MT,수입,8475,46118
2021,5,23,체육대회,지출,7912,38206
2023,6,1,여행,지출,5861,32345
2023,7,31,식사,지출,6863,25482
2020,9,2,여행,지출,9812,15670
2023,6,29,쇼핑,지출,5090,10580
2020,10,15,쇼핑,수입,3995,14575
2023,9,1,여행,수입,4005,18580
2023,11,17,MT,지출,8206,10374
2020,4,26,식사,수입,8220,18594
2021,12,6,MT,지출,2890,15704
2022,12,28,식사,지출,7841,7863
2023,11,26,체육대회,수입,4972,12835
2023,7,25,쇼핑,지출,9687,3148
2021,9,25,체육대회,수입,3895,7043
2022,9,28,MT,지출,9928,-2885
2023,4,11,MT,지출,2275,-5160
2022,2,19,여행,지출,7111,-12271
2021,12,7,체육대회,지출,2664,-14935
2021,7,4,여행,지출,7997,-22932
2023,3,22,여행,지출,9407,-32339
2022,9,29,식사,지출,3988,-36327
2022,7,29,식사,수입,3253,-33074
2020,3,29,MT,수입,3283,-29791
2023,8,17,식사,지출,3833,-33624
2021,4,3,MT,지출,4316,-37940
2022,5,24,쇼핑,수입,9497,-28443
2023,5,23,식사,수입,9393,-19050
2021,10,13,여행,수입,7357,-11693
2020,7,14,여행,수입,3146,-8547
2020,7,7,여행,수입,6865,-1682
2021,6,29,쇼핑,지출,6918,-8600
2022,11,17,여행,지출,5406,-14006
2022,9,12,쇼핑,수입,4227,-9779
2021,7,1,여행,지출,3579,-13358
2021,5,19,여행,지출,6321,-19679
2021,12,30,MT,지출,3702,-23381
2021,5,8,여행,지출,1124,-24505
2021,7,11,체육대회,수입,1548,-22957
2021,4,29,체육대회,지출,8938,-31895
2020,6,23,여행,지출,5347,-37242
2021,10,17,여행,지출,1611,-38853
2022,4,27,체육대회,수입,8664,-30189
2020,6,19,체육대회,지출,8272,-38461
2021,9,7,식사,지출,5313,-43774
2021,1,2,체육대회,지출,5971,-49745
2021,10,7,쇼핑,수입,3045,-46700
2022,8,16,체육대회,수입,8079,-38621
2023,4,15,쇼핑,지출,9132,-47753
2021,11,29,여행,수입,5195,-42558
2021,11,13,여행,수입,6621,-35937
2020,12,9,MT,지출,4043,-39980
2023,7,17,식사,지출,7954,-47934
2021,3,10,쇼핑,지출,9230,-57164
2023,9,25,여행,지출,2404,-59568
2020,8,29,식사,수입,5632,-53936
2022,3,11,식사,지출,3443,-57379
2021,2,22,여행,수입,9372,-48007
2020,8,21,체육대회,수입,9174,-38833
2020,5,20,여행,수입,7723,-31110
2021,7,25,쇼핑,지출,5722,-36832
2020,7,24,여행,지출,5715,-42547
2020,12,21,여행,수입,5102,-37445
2022,2,10,쇼핑,수입,4647,-32798
2023,3,21,쇼핑,수입,5903,-26895
2021,1,7,식사,지출,9435,-36330
2021,5,9,MT,수입,2462,-33868
2022,11,23,식사,수입,8860,-25008
2022,1,29,체육대회,지출,4435,-29443
2020,1,5,쇼핑,지출,1869,-31312
2023,10,7,체육대회,수입,2389,-28923
2020,9,11,체육대회,지출,8698,-37621
2020,10,25,여행,수입,3242,-34379
2020,2,10,MT,지출,5145,-39524
2021,10,4,MT,지출,4635,-44159
2022,10,3,MT,지출,4869,-49028
2023,1,30,MT,수입,9128,-39900
2020,1,19,체육대회,수입,8169,-31731
2020,10,21,MT,지출,3360,-35091
2020,4,11,식사,지출,8060,-43151
2021,12,17,식사,지출,7184,-50335
2023,2,18,체육대회,지출,1359,-51694
2020,11,16,MT,수입,4920,-46774
2020,9,21,여행,수입,3379,-43395
2022,10,21,식사,지출,6287,-49682
2020,5,8,여행,수입,7871,-41811
2021,3,12,체육대회,수입,2971,-38840
2022,10,7,여행,수입,8914,-29926
2022,10,4,체육대회,수입,8793,-21133
2023,3,9,쇼핑,지출,3314,-24447
2023,9,15,MT,수입,6624,-17823
2022,6,15,여행,수입,4822,-13001
2023,3,10,식사,수입,5486,-7515
2020,8,24,여행,지출,9250,-16765
2023,11,23,식사,지출,8194,-24959
2021,3,31,쇼핑,지출,7919,-32878
2020,4,29,쇼핑,수입,8938,-23940
2021,3,15,여행,지출,9648,-33588
2020,3,6,쇼핑,지출,1468,-35056
2022,5,24,식사,수입,9544,-25512
2020,11,25,쇼핑,지출,8332,-33844
2021,4,14,체육대회,지출,2941,-36785
2023,12,2,여행,지출,9533,-46318
2022,1,5,여행,수입,5965,-40353
2020,3,5,식사,수입,1784,-38569
2021,3,21,식사,지출,3776,-42345
2022,7,20,여행,수입,5015,-37330
2022,3,10,여행,지출,3772,-41102
2022,2,6,체육대회,수입,6383,-34719
2023,2,15,식사,수입,3676,-31043
2020,10,31,체육대회,수입,1308,-29735
2021,4,2,MT,지출,8319,-38054
2022,8,21,쇼핑,수입,8411,-29643
2020,2,20,식사,지출,5381,-35024
2021,11,10,MT,지출,8508,-43532
2022,11,19,여행,수입,7645,-35887
2023,10,4,여행,수입,5853,-30034
2021,9,4,여행,수입,2855,-27179
2021,8,1,쇼핑,지출,8438,-35617
2021,10,7,체육대회,지출,5227,-40844
2022,2,19,쇼핑,수입,2622,-38222
2021,10,9,여행,수입,4864,-33358
2023,2,27,체육대회,수입,5850,-27508
2023,8,21,MT,지출,5541,-33049
2021,1,26,식사,지출,6706,-39755
2022,4,22,쇼핑,지출,6713,-46468
2023,11,27,체육대회,수입,9723,-36745
2023,10,18,식사,수입,9690,-27055
2022,3,8,식사,지출,1481,-28536
2022,8,7,식사,지출,7500,-36036
2023,3,14,MT,수입,6031,-30005
2021,6,24,여행,수입,1812,-28193
2021,4,30,MT,수입,1693,-26500
2023,4,5,MT,수입,9952,-16548
2021,5,13,MT,수입,7198,-9350
2022,12,2,MT,수입,7691,-1659
2020,8,9,쇼핑,지출,3673,-5332
2021,5,24,쇼핑,수입,4076,-1256
2023,12,18,체육대회,수입,7974,6718
2023,5,21,체육대회,수입,6436,13154
2020,11,6,MT,지출,2921,10233
2022,6,10,쇼핑,지출,3483,6750
2020,4,21,식사,수입,8148,14898
2020,2,26,식사,지출,2789,12109
2023,8,29,식사,수입,7234,19343
2022,2,27,쇼핑,수입,6714,26057
2023,11,23,쇼핑,지출,9770,16287
2022,8,14,MT,지출,1905,14382
2020,6,8,MT,지출,1528,12854
2022,7,1,식사,수입,4974,17828
2021,5,26,MT,지출,2705,15123
2022,11,26,여행,지출,8787,6336
2020,12,23,MT,지출,6595,-259
2020,6,23,식사,지출,4792,-5051
2020,2,22,여행,지출,6839,-11890
2021,9,1,여행,지출,9183,-21073
2020,5,24,쇼핑,지출,3613,-24686
2023,8,29,체육대회,수입,7813,-16873
2023,4,17,MT,수입,4180,-12693
2022,11,23,식사,지출,6069,-18762
2021,5,26,여행,수입,9470,-9292
2021,9,16,여행,지출,4622,-13914
2020,12,28,여행,수입,5661,-8253
2022,2,9,MT,수입,1044,-7209
2021,7,23,체육대회,수입,9125,1916
2020,1,14,여행,수입,8558,10474
2020,1,8,체육대회,수입,3988,14462
2021,8,5,식사,수입,5348,19810
2021,11,20,MT,지출,2345,17465
2022,3,14,식사,지출,5842,11623
2021,2,7,체육대회,수입,9993,21616
2021,12,1,MT,수입,5902,27518
2021,5,20,식사,지출,1361,26157
2022,9,8,체육대회,수입,1129,27286
2021,2,19,식사,지출,2826,24460
2022,1,9,여행,수입,2583,27043
2021,3,17,MT,지출,2556,24487
2020,3,22,쇼핑,지출,5046,19441
2023,8,5,MT,수입,2506,21947
2021,11,14,체육대회,수입,4511,26458
2022,12,15,쇼핑,수입,6746,33204
2023,2,22,여행,수입,1165,34369
2021,5,11,여행,지출,5280,29089
2021,1,13,체육대회,지출,9256,19833
2021,5,17,체육대회,수입,5243,25076
2021,6,2,식사,수입,1552,26628
2022,10,24,식사,수입,7329,33957
2021,10,24,체육대회,수입,5200,39157
2023,8,14,MT,지출,8503,30654
2023,12,20,여행,수입,9113,39767
2021,2,8,여행,수입,2036,41803
2021,4,18,체육대회,지출,9052,32751
2023,6,1,쇼핑,수입,2458,35209
2020,3,22,MT,수입,9769,44978
2020,7,4,쇼핑,수입,4093,49071
2020,3,18,MT,지출,7577,41494
2021,5,14,여행,수입,5631,47125
2023,11,16,체육대회,수입,3812,50937
2020,7,30,체육대회,지출,9288,41649
2021,11,20,MT,지출,6045,35604
2021,4,15,MT,지출,3238,32366
2022,10,21,쇼핑,수입,6715,39081
2022,8,1,여행,수입,2141,41222
2023,8,20,쇼핑,수입,9612,50834
2020,11,18,식사,수입,5511,56345
2023,11,18,식사,수입,9253,65598
2022,11,16,MT,지출,2810,62788
2021,1,23,쇼핑,지출,5483,57305
2022,5,7,여행,지출,5483,51822
2020,11,29,쇼핑,지출,5051,46771
2022,5,11,여행,수입,9092,55863
2021,4,23,여행,수입,2029,57892
2022,9,1,MT,지출,2299,55593
2020,5,20,체육대회,수입,4783,60376
2023,6,23,식사,수입,9297,69673
2022,8,10,쇼핑,지출,1673,68000
2020,10,9,쇼핑,지출,5288,62712
2021,4,23,여행,수입,5200,67912
2021,11,23,여행,수입,7257,75169
2021,9,23,체육대회,지출,3685,71484
2021,11,3,식사,지출,6952,64532
2023,6,23,체육대회,지출,1322,63210
2023,9,12,MT,지출,8016,55194
2020,10,31,여행,지출,3306,51888
2021,12,31,식사,지출,6460,45428
2021,11,14,쇼핑,지출,4825,40603
2021,12,31,식사,지출,5406,35197
2023,10,31,여행,지출,1296,33901
2023,12,17,쇼핑,지출,2505,31396
2020,8,1,쇼핑,지출,3131,28265
2020,8,4,식사,수입,9322,37587
2021,7,13,MT,지출,5807,31780
2022,10,2,체육대회,지출,5104,26676
2022,3,11,쇼핑,지출,3889,22787
2020,7,2,여행,지출,9521,13266
2021,4,20,쇼핑,지출,7767,5499
2023,9,30,여행,지출,7569,-2070
2023,7,17,MT,지출,3112,-5182
2022,7,17,MT,수입,8340,3158
2023,1,3,쇼핑,수입,1598,4756
2021,11,8,쇼핑,수입,4414,9170
2020,8,8,쇼핑,수입,5487,14657
2021,11,2,쇼핑,지출,4309,10348
2023,8,18,식사,수입,3991,14339
2020,4,26,여행,수입,7662,22001
2020,4,28,쇼핑,수입,7724,29725
2023,3,25,여행,수입,8669,38394
2023,9,27,쇼핑,지출,8573,29821
2023,2,15,식사,수입,4705,34526
2020,3,10,식사,수입,5517,40043
2023,11,1,쇼핑,지출,6354,33689
2021,3,29,체육대회,지출,1880,31809
2021,9,26,여행,지출,8573,23236
2022,12,23,체육대회,지출,6643,16593
2020,6,28,쇼핑,수입,2303,18896
2023,6,15,쇼핑,지출,7633,11263
2021,9,8,체육대회,수입,4700,15963
2021,4,5,쇼핑,수입,1525,17488
2021,4,1,여행,수입,9871,27359
2022,10,26,MT,수입,5120,32479
2022,3,19,여행,수입,6461,38940
2021,3,30,MT,수입,8867,47807
2022,10,16,체육대회,수입,6592,54399
2020,2,27,MT,지출,5939,48460
2020,11,21,여행,수입,4608,53068
2023,10,14,체육대회,수입,5829,58897
2020,5,3,체육대회,수입,1957,60854
2023,5,2,여행,수입,5538,66392
2022,9,13,체육대회,지출,8987,57405
2022,12,23,MT,지출,4584,52821
2022,4,15,체육대회,수입,2550,55371
2021,10,24,여행,수입,6506,61877
2022,6,4,쇼핑,지출,4758,57119
2023,4,17,쇼핑,지출,5831,51288
2022,1,3,MT,수입,2819,54107
2022,11,4,식사,수입,1476,55583
2021,2,11,식사,수입,9151,64734
2021,11,30,식사,지출,4999,59735
2021,5,20,체육대회,지출,1496,58239
2020,10,2,여행,지출,9141,49098
2020,11,19,MT,지출,3220,45878
2022,10,5,식사,수입,3449,49327
2023,1,9,여행,수입,5414,54741
2020,8,31,쇼핑,지출,6670,48071
2023,12,20,식사,지출,1479,46592
2023,3,18,체육대회,지출,4480,42112
2021,9,26,쇼핑,수입,3430,45542
2023,10,15,여행,수입,4612,50154
2023,10,8,체육대회,수입,8358,58512
2020,10,30,여행,지출,9107,49405
2020,1,4,체육대회,지출,2986,46419
2022,7,15,여행,수입,9236,55655
2021,5,19,식사,수입,4712,60367
2021,5,29,쇼핑,지출,7728,52639
2023,12,11,쇼핑,수입,2712,55351
2023,6,13,쇼핑,지출,9653,45698
2023,6,29,MT,지출,1147,44551
2020,2,20,체육대회,지출,2324,42227
2021,5,31,체육대회,수입,5118,47345
2022,5,2,식사,지출,1117,46228
2021,11,8,쇼핑,수입,8532,54760
2022,8,8,여행,지출,2285,52475
2023,9,1,체육대회,수입,1721,54196
2021,6,29,여행,지출,4509,49687
2022,12,29,체육대회,수입,8315,58002
2023,12,18,쇼핑,지출,2735,55267
2020,12,27,식사,수입,6144,61411
2023,10,14,식사,수입,5990,67401
2020,9,27,식사,지출,7162,60239
2022,11,1,식사,지출,1928,58311
2020,4,28,MT,수입,3481,61792
2023,9,19,MT,수입,8238,70030
2023,11,7,MT,지출,1274,68756
2021,12,6,식사,지출,8020,60736
2023,10,1,MT,지출,1942,58794
2023,3,18,체육대회,지출,1401,57393
2020,4,13,체육대회,수입,3537,60930
2021,10,2,쇼핑,수입,4699,65629
2023,11,20,MT,지출,6683,58946
2020,10,4,MT,지출,3951,54995
2021,11,1,여행,수입,8924,63919
2022,2,28,체육대회,수입,1933,65852
2021,7,12,체육대회,수입,7321,73173
2023,10,18,MT,수입,1726,74899
2022,1,29,체육대회,수입,9275,84174
2021,5,19,MT,지출,2213,81961
2022,11,11,MT,지출,9209,72752
2021,10,17,식사,수입,9038,81790
2022,2,18,체육대회,지출,2443,79347
2023,12,13,MT,지출,9481,69866
2021,1,14,식사,수입,5532,75398
2023,12,31,식사,수입,9728,85126
2022,8,11,식사,지출,5437,79689
2020,9,26,쇼핑,지출,2113,77576
2020,8,29,쇼핑,지출,5921,71655
2022,11,10,쇼핑,지출,1404,70251
2020,11,7,MT,지출,6925,63326
2021,2,6,식사,수입,9522,72848
2023,12,7,쇼핑,수입,9490,82338
2022,7,17,식사,지출,3468,78870
2023,5,19,MT,수입,5331,84201
2023,7,24,쇼핑,지출,8920,75281
2022,9,26,쇼핑,수입,6355,81636
2020,6,26,쇼핑,수입,3425,85061
2020,7,24,식사,수입,9497,94558
2023,5,21,식사,지출,2171,92387
2023,2,14,여행,지출,6895,85492
2020,9,17,여행,수입,3521,89013
2023,7,12,쇼핑,지출,7638,81375
2021,12,15,식사,지출,3732,77643
2021,11,18,체육대회,지출,8814,68829
2023,4,29,체육대회,수입,2410,71239
2022,11,27,MT,수입,2395,73634
2023,2,21,식사,지출,4366,69268
2021,3,20,MT,수입,5103,74371
2020,5,29,MT,수입,5947,80318
2020,1,25,여행,수입,6895,87213
2021,2,14,체육대회,지출,3386,83827
2021,3,30,여행,수입,8918,92745
2020,7,5,여행,수입,4785,97530
2020,12,11,식사,수입,8587,106117
2021,4,30,여행,수입,9271,115388
2023,5,13,여행,수입,4175,119563
2022,10,31,쇼핑,수입,7402,126965
2022,7,19,쇼핑,수입,8205,135170
2023,2,13,쇼핑,지출,9411,125759
2020,5,30,여행,수입,8654,134413
2021,8,6,MT,지출,8538,125875
2020,3,24,식사,지출,7988,117887
2022,4,10,여행,지출,4202,113685
2022,3,1,여행,지출,3060,110625
2020,12,23,여행,수입,3839,114464
2021,3,31,MT,수입,2078,116542
2023,10,22,체육대회,지출,9841,106701
2020,7,17,쇼핑,수입,9808,116509
2023,1,3,식사,수입,4473,120982
2023,2,7,쇼핑,지출,9608,111374
2023,7,16,여행,수입,2749,114123
2022,3,30,쇼핑,지출,4382,109741
2020,11,1,체육대회,지출,4160,105581
2023,12,3,식사,수입,2322,107903
2021,12,31,식사,수입,7949,115852
2020,6,8,식사,수입,4130,119982
2022,8,5,MT,지출,5940,114042
2021,4,12,MT,지출,4033,110009
2021,11,10,식사,지출,2837,107172
2023,9,7,식사,수입,9770,116942
2023,8,16,식사,지출,9455,107487
2020,4,9,쇼핑,지출,4267,103220
2021,9,16,식사,수입,6242,109462
2023,7,12,쇼핑,지출,3632,105830
2022,3,6,여행,수입,2362,108192
2022,8,12,MT,수입,8079,116271
2020,7,16,여행,지출,1187,115084
2023,4,27,MT,지출,3427,111657
2022,12,7,식사,수입,7988,119645
2021,5,6,쇼핑,수입,1860,121505
2023,12,31,여행,수입,2972,124477
2021,6,18,식사,지출,4265,120212
2023,10,19,식사,수입,8500,128712
2022,3,4,쇼핑,수입,2147,130859
2022,5,29,여행,지출,7726,123133
2021,3,9,식사,수입,3368,126501
2021,2,15,체육대회,수입,4096,130597
2023,7,11,식사,지출,9283,121314
2020,8,25,쇼핑,지출,8336,112978
2022,5,7,쇼핑,지출,1118,111860
2023,12,15,체육대회,수입,3087,114947
2023,1,10,쇼핑,지출,9109,105838
2020,3,19,식사,수입,6195,112033
2022,7,16,MT,수입,7136,119169
2023,6,28,체육대회,지출,9639,109530
2022,3,27,쇼핑,수입,1651,111181
2021,2,24,여행,수입,9410,120591
2023,2,8,식사,지출,9587,111004
2023,7,6,MT,지출,6900,104104
2023,4,22,MT,지출,6723,97381
2020,11,7,쇼핑,수입,1779,99160
2020,3,23,MT,지출,9902,89258
2022,11,8,쇼핑,수입,5654,94912
2023,9,23,식사,지출,6481,88431
2023,8,10,쇼핑,수입,2494,90925
2021,3,7,MT,지출,6735,84190
2023,4,21,체육대회,수입,3252,87442
2022,9,24,MT,지출,9056,78386
2023,9,8,여행,지출,4948,73438
2020,12,7,MT,수입,5532,78970
2021,12,8,여행,수입,5352,84322
2022,10,7,여행,수입,6401,90723
2023,1,3,MT,지출,7965,82758
2020,8,19,쇼핑,수입,2101,84859
2020,2,25,식사,지출,3454,81405
2023,2,27,여행,지출,3926,77479
2022,4,13,여행,지출,4592,72887
2023,7,6,쇼핑,수입,7618,80505
2021,3,22,쇼핑,지출,1023,79482
2023,12,24,체육대회,수입,8212,87694
2022,4,13,여행,지출,9031,78663
2021,10,27,식사,수입,3135,81798
2020,11,10,쇼핑,수입,6087,87885
2020,12,7,여행,수입,2504,90389
2020,2,25,여행,수입,6741,97130
2022,1,8,식사,수입,7718,104848
2023,7,22,체육대회,수입,6666,111514
2020,6,29,식사,수입,4779,116293
2021,3,18,MT,수입,7360,123653
2022,5,31,MT,지출,8780,114873
2023,5,6,체육대회,지출,2732,112141
2022,9,15,MT,수입,2559,114700
2021,11,29,체육대회,수입,3347,118047
2022,4,25,쇼핑,지출,8490,109557
2022,3,5,쇼핑,수입,8122,117679
2020,8,26,식사,수입,5496,123175
2020,5,26,여행,수입,8805,131980
2023,12,27,MT,수입,2168,134148
2020,12,10,체육대회,수입,4202,138350
2022,3,2,식사,지출,6491,131859
2021,7,25,쇼핑,지출,8870,122989
2022,2,7,체육대회,지출,5885,117104
2021,8,5,쇼핑,지출,4508,112596
2023,5,31,여행,수입,1900,114496
2020,4,11,체육대회,지출,5193,109303
2022,10,15,여행,지출,1521,107782
2020,6,22,체육대회,수입,9433,117215
2021,5,24,쇼핑,지출,2094,115121
2023,8,11,식사,수입,1052,116173
2021,1,4,쇼핑,수입,3395,119568
2020,10,17,체육대회,수입,3927,123495
2020,11,5,체육대회,지출,4166,119329
2022,8,3,식사,지출,9307,110022
2023,4,26,체육대회,수입,4270,114292
2022,8,25,식사,지출,1626,112666
2021,4,14,식사,수입,8633,121299
2021,10,3,쇼핑,수입,2916,124215
2021,8,9,체육대회,지출,7185,117030
2023,9,12,식사,지출,8226,108804
2023,4,9,여행,지출,9953,98851
2020,1,15,쇼핑,지출,2272,96579
2021,1,25,쇼핑,지출,7409,89170
2021,9,21,쇼핑,지출,1062,88108
2022,11,25,쇼핑,지출,1571,86537
2022,11,29,쇼핑,지출,4823,81714
2021,11,26,체육대회,지출,5810,75904
2020,3,8,식사,지출,9360,66544
2020,1,30,MT,수입,9280,75824
2021,11,27,쇼핑,수입,4802,80626
2020,3,14,쇼핑,지출,3821,76805
2021,11,10,식사,지출,4848,71957
2023,9,28,쇼핑,지출,5643,66314
2021,4,18,쇼핑,지출,5018,61296
2020,1,10,식사,지출,7815,53481
2022,3,7,체육대회,지출,3871,49610
2021,11,9,체육대회,수입,4646,54256
2020,10,26,체육대회,지출,6765,47491
2023,10,17,체육대회,지출,3164,44327
2020,10,8,MT,지출,8829,35498
2023,9,14,여행,지출,2693,32805
2022,7,9,쇼핑,수입,4769,37574
2021,1,17,식사,지출,8851,28723
2023,12,27,MT,지출,1796,26927
2022,8,31,MT,지출,2325,24602
2021,3,1,여행,수입,3440,28042
2023,1,3,식사,지출,9042,19000
2021,4,3,쇼핑,수입,1789,20789
2022,2,24,식사,수입,6686,27475
2023,2,6,MT,수입,4790,32265
2023,4,16,식사,지출,2589,29676
2022,11,22,MT,수입,1920,31596
2022,10,15,여행,수입,6343,37939
2021,2,26,여행,지출,7361,30578
2023,11,13,체육대회,지출,1263,29315
2023,8,20,식사,수입,1751,31066
2022,7,28,체육대회,지출,3471,27595
2021,2,28,여행,지출,2584,25011
2023,4,12,여행,지출,1135,23876
2022,11,25,MT,수입,4112,27988
2023,5,12,MT,수입,3477,31465
2020,3,16,식사,수입,5216,36681
2021,10,14,체육대회,수입,1445,38126
2023,8,16,쇼핑,지출,5901,32225
2022,4,25,식사,지출,6433,25792
2021,8,27,쇼핑,수입,9670,35462
2021,12,9,MT,수입,7741,43203
2021,2,21,체육대회,수입,3588,46791
2020,4,21,MT,지출,2113,44678
2023,8,16,MT,지출,8152,36526
2023,1,11,체육대회,지출,3319,33207
2021,5,28,MT,수입,7600,40807
2022,5,29,쇼핑,수입,8401,49208
2021,10,28,쇼핑,수입,7855,57063
2020,2,14,쇼핑,수입,2702,59765
2021,3,3,여행,지출,6788,52977
2021,4,10,여행,지출,6408,46569
2021,1,14,MT,지출,7518,39051
2022,3,25,식사,지출,8986,30065
2020,10,10,식사,지출,2470,27595
2021,10,22,여행,지출,2254,25341
2022,5,23,체육대회,지출,8643,16698
2022,5,17,쇼핑,수입,7552,24250
2020,6,22,여행,수입,3472,27722
2022,9,14,여행,지출,7243,20479
2022,12,17,체육대회,수입,3485,23964
2022,7,29,체육대회,수입,8620,32584
2020,6,14,체육대회,수입,1232,33816
2023,3,11,식사,지출,9608,24208
2022,1,9,MT,지출,8667,15541
2022,3,6,여행,지출,7332,8209
2020,11,12,여행,지출,8620,-411
2021,12,17,여행,지출,9754,-10165
2022,2,21,식사,수입,5385,-4780
2023,12,19,여행,수입,8478,3698
2022,11,8,체육대회,수입,3512,7210
2022,12,20,여행,지출,8544,-1334
2021,3,29,식사,수입,4218,2884
2021,5,13,체육대회,지출,8451,-5567
2021,2,10,쇼핑,지출,7769,-13336
